Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
HPC,,,13005.009765625,,,0,,,0,13005.009765625,,,0,,,0,13005.009765625,,,0,,,0,20000,1,20000,1,,,0,13005.009765625,,,0,,,0,13005.009765625,,,0,,,0
HPR,,,732931.375,,,0,,,0,732931.375,,,0,,,0,732931.375,,,0,,,0,732931.375,,,0,,,0,732931.375,,,0,,,0,732931.375,,,0,,,0
HSE,,,12724.6904296875,7,12800,191,10,5000,20,10247.3095703125,5,9880,14,20,5000,21,11000,1,9500,9,,,0,7503.490234375,84,8000,164,1,6950,130,6520.85986328125,,,0,30,5000,30,12500,7,12499,82,1,8200,32
HSS,,,2261.800048828125,31,2250,499,2,1850,220,1458.239990234375,28,1990,116,20,785,100,1000,,,0,,,0,1664.1600341796875,16,1800,202,2,1170,1197,1109.52001953125,20,2000,20,,,0,2000,3,2000,250,20,1800,701
HTE,,,1704487.375,,,0,,,0,1704487.375,,,0,,,0,1704487.375,,,0,,,0,1704487.375,,,0,,,0,1704487.375,,,0,,,0,1704487.375,,,0,,,0
HYR,,,1397232.5,,,0,,,0,1397232.5,,,0,,,0,1397232.5,,,0,,,0,1397232.5,,,0,,,0,1397232.5,,,0,,,0,1397232.5,,,0,,,0
I,,,464.6099853515625,142,470,2112,,,0,517.0399780273438,2,610,57,8,504,168,634.2899780273438,,,0,,,0,423.45001220703125,152,590,645,20,200,70,634.2899780273438,,,0,,,0,263.9200134277344,3,250,3709,20,80,20
IDC,20000,,20000,14,24000,26,10,20000.009765625,110,20000,,,0,100,20000,100,10433.23046875,,,0,,,0,20000,34,22000,34,100,20000,100,10433.23046875,,,0,,,0,20000,10,22000,10,100,20000,100
IMM,,,68599.8203125,,,0,,,0,68599.8203125,,,0,,,0,68599.8203125,,,0,,,0,68599.8203125,,,0,,,0,68599.8203125,,,0,,,0,68599.8203125,,,0,,,0
IND,,,2400,2,2200,47,,,0,2700,5,3000,20,2,1500,26,2000.25,,,0,,,0,2161.860107421875,50,2250,100,5,1800,25,2000.25,,,0,,,0,2044.510009765625,49,2250,74,11,1750,11
INS,,,113.08000183105469,45972,115,45972,120,108,9970,132.58999633789062,488,144,11117,400,122.01000213623047,3851,9,,,0,,,0,132.99000549316406,965,137,17316,140,118,1744,160,,,0,,,0,130.4199981689453,150,169.94000244140625,22512,50,169.24000549316406,862
JUI,,,1109.18994140625,,,0,,,0,1109.18994140625,,,0,,,0,1109.18994140625,,,0,,,0,1109.18994140625,,,0,,,0,1109.18994140625,,,0,,,0,1109.18994140625,,,0,,,0
KOM,,,449.5,59,449.5,399,7,433.010009765625,1165,492.4700012207031,194,500,2490,120,454.5,931,399.989990234375,297,445,307,,,0,733.2999877929688,19,695,3109,14,510.010009765625,2557,350,290,350,490,,,0,491.010009765625,54,520,4650,2000,500,3308
KV,,,12657.75,1,20000,1,20,9000,20,10493.7900390625,,,0,,,0,13713.3798828125,,,0,,,0,11986.7802734375,5,16000,22,36,11400,68,13713.3798828125,,,0,,,0,13995,6,13500,18,,,0
LBH,,,2567.179931640625,6,2700,198,4,1525,42,2512.89990234375,35,2450,254,92,2400,141,2000,,,0,,,0,2644.5400390625,7,2984.699951171875,2409,4,2600,166,1900,39,1900,67,,,0,2793.7099609375,6,2898.89990234375,184,2,2500,47
LC,,,2400,115,2400,127,1,1900,118,1800,19,1800,43,3,1200,98,3206.679931640625,,,0,,,0,1500,9,4500,9,3,1234,141,3206.679931640625,,,0,,,0,4095,5,3500,53,100,500,100
LCB,,,400000,1,425000,1,,,0,400000,,,0,,,0,330863.5625,,,0,,,0,445000,1,440000,4,1,320000,1,330863.5625,,,0,,,0,330863.5625,,,0,,,0
LCR,,,1000,1,1000,3,,,0,1989.800048828125,1,1989.800048828125,4,,,0,2970,,,0,,,0,1800,10,1990,12,,,0,2970,,,0,,,0,2000,8,2000,24,,,0
LD,,,9000,4,9000,4,,,0,6000,5,10000,5,5,5000,5,5134.419921875,,,0,,,0,9000,46,9000,127,,,0,5134.419921875,,,0,,,0,5134.419921875,1,7500,8,,,0
